task,cluster,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10,beta11,beta12,beta13,beta14,beta15,beta16,beta17,beta18,beta19,beta20,beta21,beta22,beta23,beta24,beta25,beta26,beta27,beta28,beta29,beta30
0.0,5.0,-0.5799246554050186,-1.017499789940909,-0.22808431005217644,-0.4715314164265452,0.11943098067700086,0.2805081392171169,-0.4601294546933813,0.0016270572636429281,-0.3827163020081863,-0.12153115914968832,0.12779714764631736,0.2100297626462868,-0.11655848203355636,0.5814776166215998,0.5891969411835842,0.21547865613338088,0.1382328021053144,-0.2913459275197863,-0.83708712376037,0.22585473775879877,-0.019606063705167362,1.1360765863409896,0.24669658504004252,-0.4849557147822361,0.9420546245757538,-1.0917904955560953,-0.9214016620016098,0.42662256626130224,-0.49704011102448886,0.7205682470152919,-0.7101961269739222
1.0,4.0,-0.9405313310016236,0.22108966063564078,-0.1798652146793393,-0.18092797385237053,0.19895783928323854,0.08978425224468167,0.16966904053243834,0.19182797877134622,0.9608324326499337,1.0266323211940156,0.45351401543801245,-0.5361691616838568,-0.9425362410291804,1.1377363558509128,-1.078000009128239,0.32678103695363975,0.6295021578363819,0.04648342917615689,0.42955540168518647,-0.6013825542678715,0.6474222170097124,0.11059216111027287,0.007999080563551142,0.21067712621256263,-0.03550796706801576,1.1836362839791186,-0.005727388090881025,0.23052884904841814,-0.12622619477489852,-0.1291564018618575,0.5212105921499535
2.0,2.0,0.2371023294291405,-0.04453750577483544,0.713621605475552,-1.1235743949557717,1.341301047761169,-0.4065804029512101,0.3033949781189512,0.37121973885746906,-0.8989016368039562,0.3162044026311661,0.5392686198306511,0.21347545402057347,-0.3467059678974911,1.0216806756852015,0.16560066926173833,-0.5044097997458021,0.02410430109094025,0.03937004500075989,0.1689337593985724,-1.6957343466560235,0.7453637254217003,-0.05974284436685373,0.08901415850547306,-0.12492339228006834,0.3056133556409738,0.4834417644815586,0.22055938007727235,0.715408047379547,0.13070456056591026,-0.43278430522937855,-0.8720521577155116
3.0,0.0,0.008094673809481423,-0.5182371095154217,0.8809085589661234,-0.293083912532058,-0.14885370043967994,0.44995746486767557,0.6984306983644966,-0.32836969011842904,-0.06495380520420731,-1.432010944978915,0.5111583019958769,0.6013823013623317,0.6188845439291798,-1.0541365061955805,0.36051955923672424,-0.34736834377724984,0.18383974423680666,0.43078272094093045,0.7791307853748266,-0.7393933975493625,-0.45166435187299586,-0.2702684076008254,-0.011805215146176731,0.31103993187556994,0.8556393429386894,-0.23972242276550357,0.2802665527043688,-0.7236250398264251,-0.10380353006276226,0.383277925268534,-0.40347485503902425
4.0,3.0,-0.16795598692215927,0.077240544226439,-0.08146794077386708,-0.06403445496824385,0.27309981715172177,-0.7435830309663312,-0.47030379194303606,0.35767456439916306,0.13053910057938684,0.42359466907612153,0.21504270862114927,0.2853348371890521,0.675598325982224,-0.7112742442838871,-0.09041016187074324,0.6603398112677248,-0.6744212835104245,0.4519747581150612,-0.9393208832768728,-0.010013761562493118,0.36888219850492754,0.04485763938904502,-0.10821700786955145,0.3224595888258522,-0.699680126924944,0.17937450259001833,-0.01869332818696992,-0.16897691441818402,-0.17152848988749445,-0.4886827565499288,0.21511619676615948
5.0,1.0,0.03286833683103427,0.6879988776679439,0.9425292839681709,0.688445295217324,-0.0069782022759627485,0.2629845492930942,0.05433730745993351,0.4889878935240236,1.1558652658068027,0.5343914784937489,-0.006171989994637139,-0.21284922473589743,-1.291102610420431,0.24546853711616928,-0.6645976888513676,-0.19065375158982614,0.029551618133075906,0.09039220384464397,0.14977770098585275,0.24112356332619306,-1.06778365432052,-0.3425188014210334,-0.31300164129290325,-0.16294573931630246,-0.20868601528291833,0.4915587152507798,-0.0386868276086233,0.6529487133532778,0.7061593169628986,-0.4484253201196832,-0.13452142612503304
6.0,2.0,-0.12914773393914597,-0.008402803891450414,0.5636226372308388,-1.2253170592123996,0.9585315056781621,-0.5190945222461577,0.2711940245356224,0.4156305699810164,-0.3705763278398831,0.5711800148499474,0.5674640971988332,0.27508991732041754,-0.4600833064855498,0.9966232866201381,-0.1422115426010931,-0.5946764795368085,0.22642602004735857,-0.0398079550041708,0.13095026340175847,-1.8027646708644518,0.5591184997737348,0.1773492507726645,0.2533582267815764,-0.178023841128407,0.6151194676198685,0.2780113354436335,0.40351680917457133,0.9795404589140178,0.14737668562950956,-0.03421811123768173,-0.7099222781184574
7.0,3.0,-0.38939451092760147,0.2674465538562689,-0.08907003326500114,-0.05526314494135062,0.3347041846703784,-0.8976059302264833,-0.43796542370243596,-0.004102910796280168,0.2616418628807336,0.3067516469660351,0.19011779529281356,0.1901753175021973,0.6192523207817928,-0.30085069331021463,-0.24591522610962285,0.5182842148835298,-0.5706407832464881,0.23224398270243962,-0.9166853587886866,0.05585267633071639,0.12464254840066194,-0.41399621082767224,0.2203918242969375,0.2216567231954306,-0.9433071976617072,0.35806117935379683,0.08926214313362711,-0.26104169294374024,-0.18886090680210976,-0.3848818232535946,0.284434105840889
8.0,1.0,0.34229409167412095,0.43314775386254467,0.4290139063451589,0.6341351729635357,-0.017264871381587596,-0.25575131374572735,-0.08824305899844286,0.8810675950460964,0.937353094148219,-0.20655741791973634,-0.4368341744147224,-0.38155338967594155,-0.6656331375258884,0.37534094013190633,-0.40053064554970136,-0.11090303644290686,-0.1582480230853503,0.4845714353927691,-0.0982153783696024,0.5068784468916193,-0.8841346205364329,-0.9493452016172761,-0.05383886203971597,-0.3012838625506299,0.05167189261400848,0.3866593899260806,0.42802462532973906,0.5953614990124475,0.7782525401401607,-0.5113042572815087,0.19950199233891242
9.0,3.0,-0.23127185665525934,0.1774801751974003,-0.3170082049277003,-0.2715496081699547,0.1814882581649228,-0.8783577253255759,-0.26185283511402446,-0.007605296833034042,0.3032432634773117,0.10919108822965268,-0.3025756818045889,0.38728688699926606,0.8651360128269199,-0.5033306898949471,-0.5384447445333769,0.6094314198375747,-0.6898982989357981,0.4046718568337064,-0.8315348654950963,-0.6403786488021467,0.17403085955614914,0.002742770562134192,0.07321575596691736,0.3105796323241557,-0.9183235775876655,-0.11736276744309665,0.5434852085648703,-0.07843057608961262,-0.09030511254034046,-0.4121563035569525,0.2119970291831016
