task,cluster,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10,beta11,beta12,beta13,beta14,beta15,beta16,beta17,beta18,beta19,beta20,beta21,beta22,beta23,beta24,beta25,beta26,beta27,beta28,beta29,beta30,beta31,beta32,beta33,beta34,beta35,beta36,beta37,beta38,beta39,beta40,beta41,beta42,beta43,beta44,beta45,beta46,beta47,beta48,beta49,beta50,beta51,beta52,beta53,beta54,beta55,beta56,beta57,beta58,beta59,beta60,beta61,beta62,beta63,beta64,beta65,beta66,beta67,beta68,beta69,beta70,beta71,beta72,beta73,beta74,beta75,beta76,beta77,beta78,beta79,beta80,beta81,beta82,beta83,beta84,beta85,beta86,beta87,beta88,beta89,beta90,beta91,beta92,beta93,beta94,beta95,beta96,beta97,beta98,beta99,beta100
0.0,0.0,4.68235490608994,-12.038423594298038,14.183995506934714,-2.786627174792803,-6.949319888712776,8.781117869813743,8.67464416259733,-6.280086922056332,0.13095423470597017,-22.505596175090368,11.372145292376551,9.953853074369869,9.365211477265635,-20.039548540244713,-3.3817459244972623,-0.0002310200316427355,4.006112778688966,2.710422854812923,13.371156098557782,-15.526874689823831,-1.891067723758668,-6.628330248175447,2.031655791625152,5.687522181199982,12.741402654652543,-5.2122653264148315,6.850675818847111,-18.489249394948413,-2.053100748123195,10.39001057660782,-4.433563602509246,3.684937977713031,10.245925975192355,10.49708868199618,8.834965673465783,-1.5381430091353336,1.152653362573406,-3.265717325658105,8.458972546027098,24.231949613121508,0.8753419667350102,-5.792694755342645,0.6691741550727283,-20.687843209721304,2.388152261415061,-8.617747730334473,-1.3143082350207196,-0.10955309889285372,7.924301857775794,2.4928397108286267,8.480766160503572,-14.390802966222626,-13.808311728119984,-0.7694462549956055,-6.001355345800926,-1.589144158525162,3.7010725303201766,-0.11679918360703065,5.631909983802684,15.241592993057838,-9.452709512636359,-0.7591196269841518,2.8723248193721544,-2.0446973377823467,10.438358485353138,-23.681869353720664,19.926494082737896,-11.166496375472379,2.229470752971471,7.007133783969755,-7.7452181186133595,4.673054695415121,7.0860962965578205,5.42155026539179,-8.913932649726089,20.053488771826036,2.4604317521359826,-11.384180902664545,6.203927126648156,0.24276297583045534,4.976223676257713,-35.12562826575581,13.203273689896236,1.4550236805976944,1.272781698637146,-3.7705570851380337,7.646441283452847,9.86994828709316,2.731444933404971,13.97159602735528,1.0959717964785816,-3.7087771116870987,-10.137643927185438,-5.553911837436548,8.236663701985771,-1.0365752109802417,-3.375018190345849,4.920226026492875,-10.729469986744489,-5.032238172858295,2.803940439889097
1.0,0.0,4.760654748393048,-12.028413303433931,13.789815003041209,-2.8924926046506267,-7.412054823484932,8.688309219607588,8.743614786870022,-6.4278881026914245,0.17747503665461517,-22.323868512085653,11.607142879455221,9.871353770369476,9.305150968325338,-20.56944214783287,-3.318353829077174,0.14675701334102487,4.13105468675123,2.6424934859688833,13.319504713724628,-15.27408784323025,-2.298486852199781,-6.651977804830472,2.044163049015692,5.620902765084424,12.692029089123999,-4.532239611767462,6.686173877338738,-17.907116975497182,-2.0854411940406803,10.3880891853643,-3.7841787435736665,3.4002312318498373,10.344822312082075,10.800321462497577,8.560400220882487,-1.1156432256490134,1.162478056880375,-3.21654937637321,8.113894977715429,23.646682556308324,0.5127343892515096,-5.936067646401731,0.3723619156025979,-20.969673110881036,1.9856482799357902,-9.08483609076363,-1.3624572574499123,0.33707249442950266,7.594776082132156,2.185638062140535,8.367315717469992,-14.142330421908369,-14.030700733490375,-1.1675926206164382,-5.600628553285833,-1.5676419875161793,3.4433361194932073,-0.5694287385307469,5.630234926626418,15.624736114555978,-9.631595931943032,-0.844763857719187,3.0713336236058053,-2.196017229507234,10.09711054766777,-23.92593434930075,20.67604631152815,-11.392807909348207,2.1297834643633986,7.2069419436065445,-7.8450467991702375,4.713386304999458,7.039925980204714,5.192360036661907,-9.502390827828176,20.093662143337788,2.0956899107198064,-11.45399923383934,6.3903755331369645,0.3884177450098132,4.7356830745815,-35.40907610009083,13.337284935572386,1.5646775740738361,1.5908747109252241,-4.801595493296017,7.446509639228928,10.042466247918444,2.6985084335833673,14.327637739557034,0.6706777284776828,-3.86736812285968,-10.339450515147256,-5.520210442706134,8.314819630244257,-0.8517860245593741,-3.290068993592116,4.8395715127668515,-10.721079573862466,-5.040389522634674,2.953818815152911
2.0,1.0,5.44799202159655,4.969168636979316,2.823855175784069,5.021554869033838,13.892526071952254,-7.744813198651623,-4.695250242996119,12.233514020157163,-12.43987137815071,8.604146786252018,-17.17519841424821,-4.617850239224004,7.370830593940209,-1.6148106690918196,-1.8176930125111648,6.633308032925098,-18.256167581180712,0.279847891103316,4.266734916091477,-2.4842030762011427,-6.269872826333761,-7.133582121755199,4.3935501164787825,-17.19825760992856,3.939243147888852,-4.901988113846074,-2.855071860928303,6.74636443414143,6.949966357567846,2.37235649294821,1.37409465007294,8.369063428741187,19.131599045567725,6.519651792649858,-9.777785725518944,-20.848485073850203,19.42233565566303,-17.429127797238596,12.092743295669255,8.371051805177501,-3.782530234868215,7.106539122905753,-8.673264618532514,11.752506541231813,-5.348823474448513,6.96053972242884,10.063270676425862,-1.2243900696825634,23.46570329165797,4.835639067515338,8.019651631190534,-4.642536738685707,-0.44958944448629723,13.542894032852425,-8.135022493035468,-21.227468088647832,-3.8088029905882803,-9.185737751946954,2.853645160941522,5.315291483373521,-7.6028273431041855,-3.210492490075156,-9.2402426528329,-8.55056689983476,2.325567645995262,6.4553679821736,1.6833671651785178,9.516434348439093,9.482508697252063,-0.7044502884628986,-5.623886373435436,-9.57852218765594,-12.597951105890191,1.8047699477447305,-2.3619412356127447,21.115322173701493,1.3960249229574502,-14.242611297113273,13.935747233081628,-21.3368555522252,-13.501027614061769,3.603517602162181,0.0679129238190791,12.601271305031114,-14.638018814896336,-11.942149708802647,-6.002923898134704,-4.213291812056782,-13.995540033030329,1.7293613777922892,-5.885784853076922,-14.86530680031965,-8.913862658282918,11.137425583975284,-4.217048533191135,-1.508934976903831,8.663170889460467,2.860789704303845,-10.26219439210615,-3.3814600034383266,-6.161747813109984
3.0,1.0,5.647148269437573,5.236596979344803,2.5742564345656165,4.811907566950518,13.656611361018262,-7.897828444420701,-4.869660927719098,12.27700331138652,-12.962775178120502,8.870558654770118,-17.162883256393147,-4.939817000599861,7.7466840407656585,-1.7375204146035341,-1.9805424862207428,7.00095712481938,-17.783302952101742,0.45390166188320846,4.263728355549145,-2.4726008364192364,-6.091008810355679,-7.1960909725440025,4.293120869783158,-17.344575948227032,4.077691310477293,-4.923345629989042,-2.741278628573827,6.991613879035252,6.800726608267066,2.5208647767312162,1.5600594699499672,8.080276075513627,19.25370350627347,6.479585780652167,-9.859836323086396,-20.883690738403278,19.226754940401534,-17.093699055126937,11.966299970769374,7.782431998535581,-4.071649706919486,7.159177225623048,-8.156955842452454,11.739030768184406,-5.39437237707324,7.361235351708894,9.644689886795028,-0.9304070962699518,23.80234859275105,4.825644081162199,8.154281008670837,-4.533406227654641,-0.3334571765572838,13.210257374326938,-8.076997199739376,-21.280284250617065,-3.2174919487171665,-8.721863475794205,3.217938550244312,5.551752342766815,-7.575704313414134,-3.0619395869120836,-9.00688430633545,-8.690084129556912,2.0959791420896106,6.526289164226707,2.217289955774288,9.643617475843497,9.950215099723094,-0.5339268643534775,-5.620900866440446,-9.090025661833911,-12.687300266101682,1.2803154237188221,-2.5015387140020664,21.24280148390629,1.1905863358165913,-14.201317438890198,14.187731221346349,-21.11993639620111,-13.341014168757917,3.714962104036162,-0.09453417006832529,12.756278212155047,-14.60754370079006,-11.794866552968516,-5.667337230822696,-4.296902551401013,-14.368292083500688,2.3403721405774447,-5.973482781683153,-14.914316643713166,-9.129633392147415,11.432562380335348,-4.367998340526313,-1.8897666142443104,8.807708755546278,2.9340377738126615,-10.270745853315809,-3.187268846923644,-6.333491139149742
4.0,0.0,4.637736917444584,-11.950638102682408,13.90510167913028,-3.231735757075398,-7.195412147450072,8.522790701179632,8.606927940809369,-6.278540365495758,0.1469518832015218,-22.556952033680346,11.679820052582594,9.645208080635673,9.58383298030097,-20.310150506558195,-3.213299631727138,-0.3567172260598703,3.7101638361396474,2.792870601040507,13.386828053924683,-15.56877684560117,-1.8897426817723768,-6.486148562263436,2.1486735175987723,5.541705117982064,13.213560394679696,-4.431955384314976,7.011961509180483,-18.435157209629605,-1.786980902192548,10.622603308282725,-3.6465089149949943,3.179806707284991,10.326004789198517,10.612344384349996,8.638497003909189,-1.182575688267036,1.252932848326839,-3.605792610049959,8.099512179912558,24.06125508563336,0.8096004240671304,-5.646892724815895,0.21135392687636825,-20.65375533419484,2.3261794159811573,-9.041496048353835,-1.3625213575469832,0.06141889109476632,7.563635713586887,2.1979932870246994,8.364382863167572,-14.585965871492006,-13.825773182851643,-1.2268704142238787,-5.918208404326172,-1.4354397460675028,3.4963358142549903,-0.47640371847046453,5.796324129049324,15.42270272299147,-10.248534933148623,-1.12284602638416,3.084426571631621,-2.02845087383168,10.179576813019517,-24.077527333824584,20.222579293350744,-11.4913541786454,2.1819056524737435,7.05160517249909,-7.6327201041595085,4.689191247681881,6.99350705907612,5.603381773032406,-9.354199382251217,20.392708704612865,1.9884440042313134,-11.525138163891189,6.685796901334368,0.5246976976487432,4.745241831427928,-35.3090348321158,13.656857208849901,1.4529934356122012,1.6588775465619516,-4.358089330791388,7.723681604741138,9.768340825990007,2.509038122325946,13.757782169711419,0.6563403095191751,-4.170157534568634,-9.736433174470905,-5.840991916706022,7.984793114488205,-0.8378764592617521,-3.7299412592390726,5.227023997912475,-10.518117749081512,-4.920929273457136,2.8681445162257084
5.0,4.0,-1.772627238195187,-4.612418643207006,9.8806729268125,14.050516403848148,10.78925195419803,4.400250390097957,-9.673942439741845,12.247782521427888,4.994429900699139,-6.058627586872374,-6.842330700363014,-2.1239637897655785,6.094398621670623,3.665995767793415,-18.268451486624805,-9.04730768124187,-7.29173789176493,-1.0696505869505826,2.6057910356847156,2.61476723509088,-2.438279255038366,-3.362106647574171,4.4655043358395305,-0.8315788173109826,-4.602073253262747,3.4109100704511803,-10.397850917413646,-2.9618512584288252,13.957998630353245,-12.739154860438715,-15.699235047467551,15.367866329636753,-6.16823563819022,-1.6565466999118779,17.17780831078463,-5.3149688433119415,-6.7782425753613245,6.170026448179891,-2.108404515120667,3.4125576497286447,-3.8226034362879604,-8.163554366485343,2.717435951358838,2.603959540345131,-12.295150675780729,-7.194210153693796,-17.276429647190735,2.2091436106746998,1.505376943392256,-3.840660828845917,-6.149829367875826,0.28991045271529714,-5.448380945166587,11.139232353136887,-12.07269647703307,-13.514909974001096,20.60146430502952,-14.85688016130264,-11.63783186191149,4.260726655655668,4.253502897089019,7.04630587515088,2.2402561133386167,-2.514729597719734,-4.75280670546538,-7.111888745346905,13.790105976900172,-2.9133840997227933,4.931118154296128,19.51115584110777,-3.0455529287202,0.12140855859822675,3.772600830710541,-13.68666464558696,4.272312379335941,5.040256879764439,-11.497888338667046,-14.041107848871848,-4.731035292848505,-4.167223694000521,-17.08941698804843,0.03371064100450627,-7.897078400449006,1.4578030828806943,-7.270765262432081,-22.23448184854378,7.2545725204891545,9.130085186997656,-5.76849813806686,-15.145493204779166,0.013553339913138562,-2.1706289822325076,-1.393566726053801,1.0879807836101767,-20.791880052705547,-10.20036441954513,5.2210941266354665,8.36981950663634,-1.9386579945064515,-0.4603789869583839,-6.944632309447429
6.0,4.0,-2.1049767506631896,-4.118613967691199,9.681438579819403,13.92321614010394,10.81709194484327,4.217378843208082,-9.39193478950189,12.48016172818149,5.2697727696145,-6.39596956452053,-6.955680785814263,-2.2853511839316325,5.533712775719639,3.4468556201146137,-18.078559651995334,-9.505168886283855,-7.667738908618973,-1.3450923563171957,2.7579025209207875,2.8786034875966906,-2.482822419184924,-3.3497434019394747,4.450092018890871,-0.6132168644972313,-4.59975507030495,3.567225108077335,-10.450023903871159,-3.370397278666297,14.170723572699028,-12.318455955499722,-15.725787512947242,15.55822465458281,-5.965080134520686,-1.664910598868777,16.89008847276799,-5.54272905967563,-6.604919590850889,5.697377097937461,-2.459560866309826,3.6567479340793168,-3.9558411988987325,-7.956486574180529,2.5525487167738508,2.935600433335265,-12.37482588447077,-6.997662005857582,-17.23982598013529,2.621709772922654,1.0674931382559092,-3.6730997339350533,-5.953834689463924,0.4514382995084123,-5.337048424644204,11.03241301455514,-12.288941356055219,-12.936037449060791,20.89988221905761,-14.950331173774513,-11.29005514243248,4.365615889034885,3.970154773259273,7.301728981421988,2.7448681134954134,-2.4532384643548064,-4.898143122517723,-6.913048678024929,14.266958353659525,-3.2184285309885023,4.687152503086002,19.719172155953967,-2.8615882570658036,0.863598729328911,4.288175980724901,-14.068489304624599,4.251785413609645,5.2776668216194444,-10.91571237403309,-13.67085997066435,-4.539261146588003,-3.923248433200025,-17.32531284249322,-0.6914081249904391,-7.358347835000118,1.1132027074587614,-7.177028374501447,-22.53794814154391,7.405031126193441,9.451557235969082,-5.215235712042195,-15.10573422577815,-0.3641963291614564,-2.499961176124546,-1.5519461071267704,1.1854219660633782,-20.850930489071537,-10.027814847949264,5.083183692491595,8.117610175481756,-1.4431937198748557,-0.45676134481590014,-7.35873198188966
7.0,2.0,1.8545954426118645,-5.719338342074089,10.438451127287754,-7.9834893098643125,-4.9451865620398685,0.7862245930089252,18.944230735169317,7.854223170808486,5.351462720603687,-5.401301978298953,10.826607182842283,21.223720295150287,14.887597677788492,10.175329094791806,7.532388754692595,-7.085547160064866,4.4840163998245375,6.711874493564341,-2.710884465615024,19.160539050605106,4.485290116253736,8.819695367068283,2.5125425514823387,-20.91923741362589,-3.7887183938048574,-1.1326554129857955,11.195480191860758,2.440159909638615,1.5336515657967262,3.109161025327365,-1.4051001052934669,-7.194693277572704,-12.544653702736971,2.3709150051636816,5.774544954110852,27.61859725780715,3.9860994982307054,6.581092620902156,-3.042747056025186,5.044242958406709,8.766051351529825,-10.755769763925159,-13.423710336119301,11.08184401104834,11.701519839633225,4.123644920909076,-8.5111413310569,2.753620462140294,18.512795677841645,-17.056053076968837,-13.904589641597637,1.3439190987840803,-0.2506729199255563,-12.853480076088955,-8.17606605328041,5.530346521084546,-5.124728556216313,-7.9890036810962,15.252586731219091,2.0767868575955193,3.1931455980665153,8.72046895983005,2.701932754975158,10.738965161775356,3.561468532919045,18.64264648490001,-4.730897365740787,3.773758235629556,0.2550481895466412,-6.547472816188901,-3.174955880209793,-7.219770088243425,1.707487234112525,9.726982184439647,0.15431686836539749,5.468848693694862,3.4595037160245283,-2.7992402274322044,-4.7125287424578906,-3.630433349540106,-23.763533791054176,15.452721091748245,0.739223272403708,-3.138873244710442,-12.662497691258626,17.504313755512737,-3.3191080146513308,-0.7217141199493948,3.6588135212575503,8.455681886503152,-7.201191419972174,10.473139176547708,0.19514277601906294,13.414560881342243,-0.7310209141829598,-3.5956148022273,-15.692771381123181,-3.162350980164496,5.496110685421042,7.083032512129816,-2.4100882418307963
8.0,4.0,-2.206721297077055,-4.845251572904964,9.98083556740736,14.239297710257643,11.11666659204382,4.19823897093957,-9.709752747088192,12.204061105391416,5.345312212691403,-6.425126312551703,-6.912557404203615,-2.2372317151236083,6.22199493206118,3.581866876634837,-18.525328212232814,-9.251199457647271,-7.538826134254703,-0.9549952668280646,2.730359784994982,2.3596478414098745,-2.632001506087203,-2.9945220337578875,4.609184520234424,-0.5664379542396147,-4.4681390295510885,3.2847932758525378,-10.221732884996925,-3.2013078306557663,14.325935949539405,-12.68894881961188,-15.762974996477844,15.508331986210745,-5.750146427927713,-1.7662387923063145,16.910830726167944,-5.586593438650509,-6.454274500204262,6.1835931251383345,-1.9587457171980622,2.927059512427139,-4.115251004542711,-7.4836596047950295,2.8895291903164004,2.863144945209278,-12.325675781851986,-7.445074341907889,-17.72193996055747,2.8488279324235024,0.6301935559771872,-3.3977918967755096,-5.749495690574198,0.2906326415970349,-5.6403007942881755,11.29809288559149,-12.115380194513524,-13.208522838943189,20.8785412345428,-14.916873073261101,-11.417931327959987,4.067486123461897,4.211109871525502,7.234068411783238,2.5724165935356984,-2.2098586865684284,-4.810403805402668,-6.75636068199449,13.471632789442594,-2.829106375575834,4.8453785791573285,19.450259384833466,-3.031755112437705,0.2663481293653494,4.387629616716358,-14.312709671399505,4.578747560174937,5.085665696583118,-11.278205479724013,-13.48007018768027,-5.002171899665173,-4.20248691785367,-17.132896590509464,-0.34066850465851806,-7.792885705536063,1.1811636634404725,-6.892074702781054,-22.28311610145132,7.185473993151688,9.283824810793327,-5.560565269967721,-15.139761678070077,-0.0012159984786759004,-2.687367464203682,-1.3403246955846073,1.3035884058961742,-20.897277528377334,-10.145356672629244,5.327049613035405,8.216227455479151,-1.5116144831795915,-0.524375034957983,-6.734320413275384
9.0,4.0,-1.7519411257427389,-4.6187530073405165,10.27529898537899,13.788398390841143,11.092225251739077,4.516521585056286,-9.398013332972681,12.496531496585897,5.094108040459291,-6.338146376367767,-7.043866762198127,-2.5976554971169694,5.547911080657457,3.5948174082586193,-18.592399327425113,-9.54467757297714,-7.887457139987436,-0.7938535413050373,2.680273681248463,2.3108781751976095,-2.613294273372072,-2.7916191684028164,4.378889342434798,-0.27077535166542954,-4.576388230113377,3.812952947149884,-10.235907846809095,-3.2837641380388907,14.24608734433134,-12.779692380597117,-15.451502119408525,15.983168640735418,-6.228167907523546,-1.8420146654893546,16.704626156276053,-5.5945497026244775,-6.5170166302863874,5.799410226743846,-1.9332540512606144,3.352716910285449,-3.771904250151747,-7.9109130143047945,2.5200155105073727,2.6567283498420755,-12.335698277342653,-7.268139613674261,-17.778245564574334,2.6242003326527894,1.1319653906828522,-3.444930759759578,-5.656021191056818,0.5466085047664458,-5.448306766962959,10.943237627619576,-11.935803354614768,-13.591305368441025,20.952884766248104,-15.032579561816846,-11.314405217522165,4.246235031366333,4.152782033893444,7.005894928093073,2.657725735994759,-2.2784144550108714,-5.393541371693898,-6.8492165540888506,13.743532733929518,-2.730774475361,5.151913094466045,19.198633573622875,-3.0629428721992067,0.015311274035241462,4.669911358171389,-14.085034163609743,4.614381046202391,5.240742082530398,-11.507175255629857,-13.558696714300424,-5.004881401945577,-4.12855039254765,-17.043283626230362,-0.2521008392197843,-7.792118305491466,0.7859620989959137,-7.031380618934586,-22.321078851666414,7.145442568776364,9.32087472848793,-5.612809963121581,-15.511831121306312,-0.1525775902595741,-2.5243922397150533,-1.8910683984958312,1.3055041213018554,-20.797142875208646,-10.07168196460636,5.208821812911109,8.212638223799225,-1.2995428876344446,-0.7687481318583147,-7.043070272927351
