,losses,bandit_selects
0,0.28721562027931213,
1,0.18774747848510742,2.0
2,0.10709977149963379,3.0
3,0.06721122562885284,3.0
4,0.06617686152458191,3.0
5,0.06473741680383682,11.0
6,0.06470420211553574,3.0
7,0.07294778525829315,1.0
8,0.06747777760028839,2.0
9,0.06465070694684982,11.0
10,0.06463399529457092,7.0
11,0.06442579627037048,3.0
12,0.06468389183282852,11.0
13,0.06441734731197357,12.0
14,0.06473588198423386,14.0
15,0.06819495558738708,5.0
16,0.06546364724636078,13.0
17,0.06455358117818832,10.0
18,0.06439987570047379,6.0
19,0.06449127197265625,12.0
20,0.06452921777963638,6.0
21,0.06446623057126999,3.0
22,0.06481336802244186,3.0
23,0.06582222133874893,13.0
24,0.0643935576081276,9.0
25,0.06452332437038422,4.0
26,0.06441722810268402,2.0
27,0.06466081738471985,9.0
28,0.06640319526195526,3.0
29,0.06492114812135696,7.0
30,0.06441554427146912,11.0
31,0.06804133206605911,1.0
32,0.065159872174263,7.0
33,0.06830369681119919,10.0
34,0.06439156830310822,7.0
35,0.0645177885890007,2.0
36,0.0653047040104866,7.0
37,0.06662369519472122,7.0
38,0.06443581730127335,3.0
39,0.06506337225437164,8.0
40,0.06461694836616516,2.0
41,0.06441859900951385,10.0
42,0.06488409638404846,12.0
43,0.0644172728061676,7.0
44,0.065045565366745,9.0
45,0.06866517663002014,10.0
46,0.0651971846818924,11.0
47,0.06445462256669998,11.0
48,0.06454025954008102,2.0
49,0.06444859504699707,3.0
50,0.06439535319805145,12.0
51,0.06467553228139877,2.0
52,0.06442184746265411,12.0
53,0.06441111862659454,11.0
54,0.06468179076910019,11.0
55,0.06438864767551422,2.0
56,0.06454113125801086,12.0
57,0.06489767879247665,11.0
58,0.0654527023434639,3.0
59,0.06467131525278091,6.0
60,0.06507537513971329,2.0
61,0.0644960105419159,6.0
62,0.0644756406545639,6.0
63,0.06445875018835068,7.0
64,0.06445077061653137,6.0
65,0.06441674381494522,6.0
66,0.06498558819293976,5.0
67,0.06458164006471634,3.0
68,0.06438878178596497,7.0
69,0.06450007855892181,6.0
70,0.06519685685634613,1.0
71,0.06619451195001602,6.0
72,0.06439241766929626,3.0
73,0.064552441239357,7.0
74,0.06443000584840775,7.0
75,0.06452866643667221,3.0
76,0.06438830494880676,3.0
77,0.06475585699081421,6.0
78,0.06519433110952377,10.0
79,0.06443927437067032,11.0
80,0.06471068412065506,11.0
81,0.06439037621021271,12.0
82,0.06446541100740433,13.0
83,0.06441497057676315,2.0
84,0.06495675444602966,3.0
85,0.06613951176404953,8.0
86,0.06511124968528748,3.0
87,0.06452624499797821,7.0
88,0.06439155340194702,11.0
89,0.06465398520231247,7.0
90,0.06442718207836151,12.0
91,0.06444934755563736,8.0
92,0.0650719404220581,6.0
93,0.06452726572751999,3.0
94,0.06440568715333939,7.0
95,0.0645918920636177,2.0
96,0.06439434736967087,13.0
97,0.06455286592245102,3.0
98,0.06451127678155899,9.0
99,0.06533455103635788,14.0
100,0.06511753797531128,3.0
