index,task,x,f,y
0,0,0.2475930509655646,0.8133898814976391,0.7427723710493969
1,0,0.460821367560402,0.6307839659592239,0.644735928349478
2,0,0.8481789042550354,0.31443236639785627,0.33861993696881076
3,0,0.6776674384180419,0.47710557900323985,0.4229654076594383
4,0,0.365033861524294,0.7138538897428931,0.7558884584948209
5,0,0.1333222242755661,0.8983718273514714,0.7795649216802892
6,0,0.4002595772309653,0.682209901795604,0.6595798996520552
7,0,0.9329597633632757,0.16745534316707783,0.18670774197505466
8,0,0.6727678841899121,0.48078482594529537,0.4686730816498095
9,0,0.4168108307051736,0.6666137010654122,0.5244662288409925
10,0,0.5674387785894259,0.5610141457111417,0.4511409104135963
11,0,0.03628251871339032,0.9724670607947149,0.7876459656169195
12,0,0.9978096249621616,0.005815201224765255,0.0
13,0,0.6181776235044161,0.5252794189908546,0.5044824037099228
14,0,0.7799185597917272,0.38418922371986297,0.32120347680516176
15,0,0.9330016374857031,0.1673576371307859,0.06426580494271811
16,0,0.33858094142412487,0.7363396612982707,0.6377070402188014
17,0,0.8120053749094946,0.3536396805321865,0.36418180274098044
18,0,0.8739054776460929,0.2835050207326457,0.352156180158075
19,0,0.665536135975538,0.48620240208887006,0.48182657613931534
20,0,0.5877190894336842,0.5474294395386727,0.528983972516744
21,0,0.8947124754593125,0.25302317787611417,0.26840781460223423
22,0,0.44639901457400444,0.6392753622732135,0.688082752894857
23,0,0.24057090649231352,0.8189056871513254,0.7351196526794538
24,0,0.814902046362636,0.3506854566451815,0.31259394621493014
25,0,0.6969456932231476,0.46194781671472795,0.4145499659613058
26,0,0.4071088339278258,0.6758146796500261,0.5863550505802223
27,0,0.0,1.0,0.8556360719990017
28,0,0.9558581129867587,0.11272895446533443,0.10357706331793542
29,0,0.6043163907252318,0.5356307316344134,0.5014106739921975
30,0,0.0008378177148265397,0.9993697302048531,0.9346810982840896
31,0,0.4967063080631997,0.6085827109726881,0.601747533152184
32,0,0.5976463914160498,0.5404485863739933,0.4710314528878933
33,0,0.2967792675067487,0.7728657707256171,0.6987093579196411
34,0,0.45967749693820514,0.6314660802805149,0.5536538914009118
35,0,0.4937895366250081,0.610447588282213,0.49768902061145415
36,0,0.5845667538223004,0.5495997147196998,0.5444407615157124
37,0,0.8708091786655849,0.28736029719346556,0.42006004990484713
38,0,0.8330999484558813,0.3313865015950849,0.35461334468199596
39,0,0.779008285660609,0.38499746889684144,0.3911536796314181
40,0,0.5470439942383896,0.5745566632747405,0.5889582624202796
41,0,0.6125811041622101,0.5295148086822867,0.5074126103658231
42,0,0.7343619055462486,0.42936723369552027,0.45156620654819557
43,0,0.5651229445397417,0.5625098394664143,0.5305679408000056
44,0,0.7756286465139199,0.38844311011352983,0.37782651900502745
45,0,0.9886486591477134,0.02988769711519106,0.028981805864275678
46,0,0.7897357591711595,0.3752670813481343,0.3845784177282521
47,0,0.6134721758308989,0.5288455820099114,0.4518653945807801
48,0,0.15378557640144058,0.8836181604362316,0.8124830805998523
49,0,0.4744229203603762,0.6225550694832189,0.6009720834935709
50,0,0.28014948411309254,0.7869532010752762,0.710584347063903
51,0,0.14927765418908953,0.8868795153119736,0.8208718396879103
52,0,0.7776549551790632,0.38629542396477773,0.45678483042226675
53,0,0.05367248593882485,0.95908074668444,0.8895488390514319
54,0,0.07399254309985398,0.9432635760735968,0.8503970085734164
55,0,0.6637724263535236,0.4877668283135036,0.45455554987538327
56,0,0.5217558917419434,0.5920978292364493,0.404893454607661
57,0,0.4442045316412778,0.6405470435851001,0.5261240249819884
58,0,0.3035155341583645,0.7670403097713584,0.754527673521536
59,0,0.011662261147223464,0.9912044192185961,0.8746517462851604
60,0,0.29010588632981654,0.7785684942095397,0.8282336131413675
61,0,0.26416789542690744,0.8001130692951562,0.6848823789079038
62,0,0.03125770026271282,0.9763108990134742,0.9052845207504072
63,0,0.8046878873792318,0.3609581328572895,0.350150984736408
64,0,0.33069961347881655,0.7428431391083633,0.7751154775070942
65,0,0.8932352177166392,0.25617964130164156,0.32848952293204603
66,0,0.8110518687221585,0.35460504256384884,0.353612644342619
67,0,0.9660253580577653,0.08760213751874396,0.19491416637205325
68,0,0.9595873028343292,0.10357158030893529,0.027432692129965703
69,0,0.5901170086974725,0.5457636944067156,0.5083830429685567
70,0,0.30822565366112975,0.7629251136775613,0.716728309273713
71,0,0.9199807646184454,0.19731764261311746,0.24878154855560544
72,0,0.04529354895564916,0.9655471565931065,0.7916364612681762
73,0,0.22178142309844476,0.8333610204639589,0.6342059178788519
74,0,0.35983656705947464,0.7183544475687973,0.6438560292227264
75,0,0.4097811266763053,0.6732971641388033,0.6372496416313502
76,0,0.9463901730657241,0.13567130075348766,0.21638528246274566
77,0,0.5782401275724498,0.5538893489188829,0.4562430731975961
78,0,0.18248816556424238,0.8626720863111653,0.8710681949619444
79,0,0.5954785677520449,0.5419921787467893,0.3913317423581557
80,0,0.9354385703522188,0.16165644091807055,0.20249291445216414
81,0,0.1294467080996698,0.9011525298520946,0.7551913762127915
82,0,0.9843526109385528,0.04103771690288434,0.07414413420933552
83,0,0.14934154742146047,0.8868333377772071,0.8344322180182281
84,0,0.8215094703583077,0.3438256304850379,0.30963713833312345
85,0,0.6771764360185303,0.4774774323544272,0.4627223781345453
86,0,0.4015495906137262,0.6810116572122973,0.6680428326497173
87,0,0.21325838368787522,0.8397913439527788,0.6812454244383299
88,0,0.7739902910739289,0.39017003253866267,0.4706888041529537
89,0,0.8486922205814504,0.31383991372408315,0.3533624090751195
90,0,0.528161182983444,0.5877428642045058,0.5045754925501568
91,0,0.4071039739640941,0.6758192466148494,0.60317060865679
92,0,0.012693239286962086,0.9904244943804974,0.8724708114426917
93,0,0.1440839303233078,0.8906287923107549,1.0
94,0,0.8049858558222655,0.36066417099311165,0.3725502782526448
95,0,0.4173635094610592,0.6660844646361804,0.6327387427372709
96,0,0.33616081309497586,0.7383459353009975,0.49485661250950697
97,0,0.2937537422926325,0.7754595747382254,0.6978185648739005
98,0,0.7179483753746843,0.44417989270158087,0.4320458176618701
99,0,1.0,0.0,0.10970462213809842
0,1,0.2382823274664925,0.03995632800252462,0.1300493250510802
1,1,0.04499089243505144,0.004965077333082532,0.13736653648485148
2,1,0.4331553945287256,0.14134143395773258,0.18194732534025157
3,1,0.7318719577024699,0.5583575777864012,0.5823384242814276
4,1,0.7448266185696567,0.5755392616013453,0.4786326705530474
5,1,0.18360412371657936,0.02715974823277169,0.056298290552386214
6,1,0.7682442818380883,0.6069471916666965,0.5212213981908768
7,1,1.0,1.0,1.0
8,1,0.5284963819820688,0.25578733570536333,0.249102220969085
9,1,0.43667537622178526,0.14384646984370544,0.24670102009033565
10,1,0.0013524603671390362,0.00015519194420999155,0.06325423404417756
11,1,0.5193323171661295,0.24381070167164068,0.2762341866584327
12,1,0.7110375458162141,0.5309958288231074,0.5676893843823049
13,1,0.1245008314004469,0.015785685398973622,0.07679343358262702
14,1,0.6959145441824132,0.5113322448971136,0.4953958774919448
15,1,0.018759352397576173,0.0021204728223378298,0.13557817170187805
16,1,0.43852710979840226,0.14516743752583766,0.204283477994925
17,1,0.8904185324343014,0.780405835174457,0.6993483831287155
18,1,0.42842179852020795,0.1379851132550097,0.16762152823362764
19,1,0.07131537073200599,0.007670094341609444,0.03685253736012488
20,1,0.03735222349619436,0.004151676241801549,0.12200666113788573
21,1,0.08717035143181093,0.009223052822315633,0.021986923160629303
