,losses,bandit_selects
0,0.0515821466194203,
1,0.05184767697237345,4.0
2,0.0561041020434531,9.0
3,0.052355717176780836,12.0
4,0.05182218151985614,5.0
5,0.051582987304386985,5.0
6,0.05178056533017059,10.0
7,0.05159628840910491,14.0
8,0.05163496090540794,5.0
9,0.05229560178504544,14.0
10,0.05464348622416226,5.0
11,0.051742059063229505,14.0
12,0.056213398222046185,11.0
13,0.0528602135360904,8.0
14,0.05366792087935583,8.0
15,0.05628873686953077,3.0
16,0.0545694662179673,10.0
17,0.085795137580815,13.0
18,0.052366997910103644,7.0
19,0.05162837725950886,12.0
20,0.051650173614675166,2.0
21,0.05248278682865307,14.0
22,0.05291723072955608,12.0
23,0.055352763351138944,14.0
24,0.05176291291649292,9.0
25,0.054154914895287544,5.0
26,0.05161115264331754,7.0
27,0.057908281339046665,1.0
28,0.05231637635648521,12.0
29,0.05158325879405599,12.0
30,0.05173727732603752,12.0
31,0.05600782377683602,7.0
32,0.055146889884555315,5.0
33,0.05158438263698743,12.0
34,0.051582157333615056,12.0
35,0.06603021243988716,0.0
36,0.05158389931128621,12.0
37,0.05499939645322329,12.0
38,0.05420700362973304,5.0
39,0.051601173794504095,8.0
40,0.06404353652462397,13.0
41,0.052434830156356214,11.0
42,0.05391555891658336,7.0
43,0.0517898936321942,12.0
44,0.05197849960967198,12.0
45,0.0673098913210414,11.0
46,0.052280540099990655,12.0
47,0.05325233354620771,8.0
48,0.06877444018226697,1.0
49,0.06652432460274973,4.0
50,0.05164518563927162,12.0
51,0.05314299942353136,2.0
52,0.05171479281131543,12.0
53,0.053130573020146635,11.0
54,0.05172885775846085,12.0
55,0.05233040871247885,5.0
56,0.05293985152701462,4.0
57,0.05529867206758334,3.0
58,0.05212951512023598,9.0
59,0.05176431578421296,9.0
60,0.051630839450623044,12.0
61,0.052146069272342256,12.0
62,0.05162848504273474,12.0
63,0.05174522768641836,12.0
64,0.05381167108363953,14.0
65,0.08024598274717189,4.0
66,0.051985003129068105,9.0
67,0.05275231064009839,9.0
68,0.05331121302130214,12.0
69,0.05166779153305066,8.0
70,0.051891356566551736,7.0
71,0.05355103839537585,8.0
72,0.05167813888575359,12.0
73,0.051629000288202054,9.0
74,0.05315306231903746,10.0
75,0.05183021223629945,9.0
76,0.05158627224104193,12.0
77,0.05199745748721021,11.0
78,0.051583743027895645,12.0
79,0.052248880710881164,12.0
80,0.051655314166910674,9.0
81,0.05196378053216063,9.0
82,0.052342117343280335,12.0
83,0.051642258788894856,5.0
84,0.05159481565731493,9.0
85,0.05196765719701925,9.0
86,0.05297895024869892,7.0
87,0.05834727567278277,14.0
88,0.05216607514200694,5.0
89,0.05158214667780723,9.0
90,0.0536431257133807,12.0
91,0.05260722071235191,0.0
92,0.051637593816211545,12.0
93,0.05169634656019216,9.0
94,0.051583795034243915,9.0
95,0.0667647378788401,0.0
96,0.05363729555017027,5.0
97,0.05315119525753905,9.0
98,0.05166783015815348,9.0
99,0.05158354132405533,9.0
100,0.05275210108667949,2.0
